FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,polling_place_id,longitude,latitude
568,ExactMatch,Exact,PRECINCT 10 BOX 1,LAGRANGE FIRE DEPARTMENT,7625 LAGRANGE RD,LEIGHTON,35646,Colbert,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0773,-87.55240595999996,34.581799999999966
569,ExactMatch,Exact,PRECINCT 11 BOX 1,LEIGHTON CIVIC CENTER,1955 1ST STREET,LEIGHTON,35646,Colbert,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0774,-87.53085434999997,34.70100000000002
570,ExactMatch,Exact,PRECINCT 11 BOX 2,LEIGHTON CITY HALL,8900 MAIN STREET,LEIGHTON,35646,Colbert,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0775,-87.52900000000002,34.702752529999984
561,ExactMatch,Exact,PRECINCT 1 BOX 2,HATTON BAPTIST CHURCH,2105 HATTON SCHOOL RD,LEIGHTON,35646,Colbert,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0776,-87.48539999999997,34.75724775000001
225,KnownAlternateName,Exact,901,Clements Baptist Church,8690 US Hwy 72 W.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0777,-87.16635811999996,34.80105899999996
798,ExactMatch,Approx,2,Rogersville Senior Citizen Center,200 Dement St,Rogersville,35652,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0778,-87.29489999999998,34.827699999999965
800,ExactMatch,Exact,4,Elgin Crossroads Senior Citizen Center,2519 Hwy 101,Rogersville,35652,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0779,-87.39110000000002,34.847961619999985
801,ExactMatch,Approx,7.01,Killen Church of Christ Annex,1560 US Highway 72,Killen,35645,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0780,-87.54579999999997,34.85699999999998
802,ExactMatch,Exact,7.02,Killen 1st Baptist Church - City Only,504 J.C. Mauldin Hwy,Killen,35645,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0781,-87.53844691999997,34.859786649999975
224,ExactMatch,Rooftop,701,Pleasant Grove Fire Department,9080 Upper Snake Rd.,Athens,35614,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0782,-87.16464996000002,34.86922836000003
797,KnownAlternateName,Exact,1,Anderson Town Hall,7262 Hwy 207,Anderson,35610,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0783,-87.26856600999997,34.92467157999998
221,KnownAlternateName,Exact,601,Goodsprings Senior Center,33620 AL Hwy 99,Anderson,35610,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0784,-87.19148056,34.947363890000034
799,ExactMatch,Approx,3,Lexington Senior Center,100 McGuire Lane,Lexington,35648,Lauderdale,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0785,-87.36859999999999,34.97620000000003
955,ExactMatch,Approx,17-1,West Morgan/ East Law. Water Authority,2547 Kirby Bridge Rd,Decatur,0,Morgan,Alabama,AE,,0786,-87.07749999999997,34.511600000000016
183,ExactMatch,Exact,60,Triana City Hall,640 6th Street,Triana,35756,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0787,-86.73242739000001,34.58360000000004
953,ExactMatch,Exact,12-Mar,Turner Surles Community Resource Center,702 Sycamore St. NW,Decatur,0,Morgan,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0788,-86.98749357,34.61382960999996
228,ExactMatch,Approx,1101,Belmor Baptist Church,5895 Mooresville Rd.,Belle Mina,35615,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0789,-86.87929999999997,34.65670000000004
185,ExactMatch,Rooftop,63,Madison Mission 7th Day Adv. Church,183 Shelton Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0790,-86.71717072000003,34.694515230000015
191,ExactMatch,Rooftop,71,Madison City Hall,100 Hughes Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0791,-86.74303436000002,34.700645449999996
189,ExactMatch,Exact,69,Madison Public Library,142 Plaza Boulevard,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0792,-86.74255713999997,34.70864286000001
229,ExactMatch,Rooftop,1301,Lamb of God Lutheran Church,11716 County Line Rd.,Madison,35756,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0793,-86.78730011,34.71894836000004
205,ExactMatch,Rooftop,94,Movement Church,1469 Browns Ferry Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0794,-86.78119659000002,34.72707748000003
200,ExactMatch,Rooftop,88,Faith Lutheran Church,660 Gillespie Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0795,-86.76478577000003,34.72821807999999
202,ExactMatch,Rooftop,90,St. John's Catholic Church,1055 Hughes Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0796,-86.73931885,34.732608800000015
201,ExactMatch,Rooftop,89,Madison Baptist Church,840 Balch Road,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0797,-86.76988983000001,34.738681789999966
227,ExactMatch,Rooftop,1001,Round Island Baptist Church,14790 Brownsferry Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0798,-87.04142760999996,34.74653624999996
203,ExactMatch,Rooftop,91,Restoration Church,5810 Wall Triana Highway,Madison,35758,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0799,-86.75070953000002,34.74979782
226,ExactMatch,Rooftop,902,Riddles Hall,11281 Ripley Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0800,-87.11939239999995,34.76325225999998
196,ExactMatch,Rooftop,78,Monrovia Church of Christ,595 Nance Road,Madison,35757,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0801,-86.73139191000004,34.77172089
215,ExactMatch,Rooftop,203,Capshaw Baptist Church,14944 Dupree Worthey Rd.,Harvest,35749,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0802,-86.79375457999998,34.77205276000001
216,ExactMatch,Rooftop,204,Bethel Church of Christ,26772 Capshaw Road,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0803,-86.84535216999998,34.77342223999999
208,KnownAlternateName,Exact,102,Lindsay Lane Baptist Church,1300 Lindsay Lane,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0804,-86.93059999999996,34.78880000000004
213,ExactMatch,Rooftop,201,Isom�s Chapel Methodist Church,16230 Mooresville Rd.,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0805,-86.87648773,34.79153441999998
230,ExactMatch,Approx,1401,First Baptist Church of Tanner,11590 US Hwy 31 S.,Tanner,35671,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0806,-86.9551,34.794600000000045
190,ExactMatch,Rooftop,70,Pine Grove Missionary Baptist Church,759 Pine Grove Road,Harvest,35749,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0807,-86.76525878999999,34.794933320000005
210,ExactMatch,Rooftop,104,Friendship Methodist Church,16479 Lucas Ferry Rd.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0808,-87.00171660999999,34.79782867000002
209,ExactMatch,Rooftop,103,Pincham � Lincoln Center,606 Trinity Circle,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0809,-86.98071289000004,34.79799271000001
211,DirectionPrefixRemoved,Exact,105,Athens Senior Center,912 West Pryor St.,Athens,35611,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0810,-86.97894694000001,34.80710000000002
214,ExactMatch,Rooftop,202,Copeland Presbyterian Church,27085 Copeland Road,Athens,35613,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0811,-86.84100341999996,34.83541488999997
212,ExactMatch,Rooftop,106,Elkton Road Baptist Church,19470 Elkton Road,Athens,35614,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0812,-86.94731140000003,34.84035110000001
204,ExactMatch,Rooftop,93,Harvest Baptist Church,8999 Wall Triana Highway,Harvest,35749,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0813,-86.74868773999998,34.85364151
187,ExactMatch,Rooftop,65,Toney United Methodist Church,5465 Old Railroad Bed Road,Toney,35773,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0814,-86.73552703999997,34.890369419999985
218,ExactMatch,Rooftop,302,Mays Memorial MB Church,23636 Alabama Highway 251,Toney,35773,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0815,-86.81971741000001,34.89854049999998
207,ExactMatch,Exact,96,Madison Cross Roads Community Center,11329 Pulaski Pike,Toney,35773,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0816,-86.71400257,34.91563691000003
220,ExactMatch,Rooftop,401,Elkmont�Fire Department,19667 Sandlin Road,Elkmont,35620,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0817,-86.96801757999998,34.924095149999985
222,ExactMatch,Rooftop,602,West Limestone Fire Department,28500 AL Hwy 99,Elkmont,35620,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0818,-87.11845398000003,34.928546909999994
219,ExactMatch,Rooftop,303,Wooley Springs Baptist Church,28025 Bethel Rd.,Toney,35773,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0819,-86.81894684000002,34.93379974000003
198,ExactMatch,Rooftop,81,Bobo Volunteer Fire Department,7982 Old Railroad Bed Road,Ardmore,35739,Madison,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0820,-86.72509002999998,34.96977996999996
217,ExactMatch,Rooftop,301,Ardmore Senior Center,29920 Park Avenue,Ardmore,35739,Limestone,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,0821,-86.83823394999997,34.99097442999998
